"acquisition_date","acquisition_mileage","at_fault_flag","average_idle_hours","average_mpg","cargo_damage_cost","cdl_class","city","claim_amount","date_of_birth","description","dock_doors","downtime_hours","driver_id","employment_status","facility_id","facility_location","facility_name","facility_type","first_name","fuel_type","hire_date","home_terminal","incident_date","incident_id","incident_type","injury_flag","labor_cost","labor_hours","last_name","latitude","license_number","license_state","location_city","location_state","longitude","maintenance_date","maintenance_id","maintenance_type","make","model_year","month","odometer_reading","on_time_delivery_rate","operating_hours","parts_cost","preventable_flag","service_description","state","status","tank_capacity_gallons","termination_date","total_cost","total_fuel_gallons","total_miles","total_revenue","trip_id","trips_completed","truck_id","unit_number","vehicle_damage_cost","vin","years_experience"
NA,NA,NA,7.5,6.6,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-01",NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,3693.4,24025,54350.11,NA,18,NA,NA,NA,NA,NA
NA,NA,NA,6.9,6.54,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-01",NA,0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,4568.3,29993,63100.51,NA,19,NA,NA,NA,NA,NA
NA,NA,NA,7,6.55,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-01",NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,4345.9,28459,62424.72,NA,20,NA,NA,NA,NA,NA
NA,NA,NA,7.8,6.31,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-01",NA,0.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,5247.7,32989,71025.99,NA,19,NA,NA,NA,NA,NA
NA,NA,NA,7.2,6.46,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-01",NA,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,4926.7,31930,68391.09,NA,24,NA,NA,NA,NA,NA
NA,NA,NA,7.3,6.62,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-12-01",NA,0.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,4326.4,29402,67209.7,NA,23,NA,NA,NA,NA,NA
NA,NA,NA,7.3,6.5,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-01-01",NA,0.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,3371.2,22042,42219.69,NA,19,NA,NA,NA,NA,NA
NA,NA,NA,7.5,6.62,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-02-01",NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,4481.9,28957,59184.3,NA,20,NA,NA,NA,NA,NA
NA,NA,NA,6.9,6.36,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-03-01",NA,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,2643.3,16958,33711.67,NA,15,NA,NA,NA,NA,NA
NA,NA,NA,8.5,6.45,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-04-01",NA,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,5650.1,35858,76660.46,NA,21,NA,NA,NA,NA,NA
NA,NA,NA,6.4,6.65,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-05-01",NA,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766.3,25228,58044.42,NA,18,NA,NA,NA,NA,NA
NA,NA,NA,6.6,6.38,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-06-01",NA,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,4742.6,29877,63590.57,NA,22,NA,NA,NA,NA,NA
NA,NA,NA,6.6,6.38,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-07-01",NA,0.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,2235.3,14468,30413.6,NA,12,NA,NA,NA,NA,NA
NA,NA,NA,7.5,6.78,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-08-01",NA,0.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,3855.1,26132,54155.11,NA,17,NA,NA,NA,NA,NA
NA,NA,NA,7.9,6.72,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-01",NA,0.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,2479,16716,36228.17,NA,15,NA,NA,NA,NA,NA
NA,NA,NA,6.5,6.56,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-10-01",NA,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,3472.2,22883,46316.8,NA,18,NA,NA,NA,NA,NA
NA,NA,NA,6.2,6.49,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-11-01",NA,0.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,2532,16364,30880.6,NA,15,NA,NA,NA,NA,NA
NA,NA,NA,7.4,6.5,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-12-01",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4825.6,31690,67698.22,NA,24,NA,NA,NA,NA,NA
NA,NA,NA,6.9,6.43,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-01",NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,6487,41730,90162.99,NA,25,NA,NA,NA,NA,NA
NA,NA,NA,7.1,6.55,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-02-01",NA,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,3758.7,24069,50159.84,NA,17,NA,NA,NA,NA,NA
NA,NA,NA,5.8,6.26,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-03-01",NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3657.6,22815,49097.84,NA,20,NA,NA,NA,NA,NA
NA,NA,NA,6.7,6.57,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-01",NA,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,4424.3,28761,63494.77,NA,21,NA,NA,NA,NA,NA
NA,NA,NA,6.4,6.51,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-01",NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3417.8,21735,45725.98,NA,10,NA,NA,NA,NA,NA
NA,NA,NA,7.7,6.76,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-01",NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,5023.8,33406,69324.21,NA,20,NA,NA,NA,NA,NA
NA,NA,NA,7.7,6.47,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-01",NA,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,4137.6,26623,48800.6,NA,19,NA,NA,NA,NA,NA
NA,NA,NA,5.7,6.51,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-08-01",NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,5849.5,37963,81911.89,NA,25,NA,NA,NA,NA,NA
NA,NA,NA,7.6,6.53,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-09-01",NA,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,3175.1,20619,44688.8,NA,16,NA,NA,NA,NA,NA
NA,NA,NA,7.4,6.45,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-10-01",NA,0.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,7166,46012,102518.83,NA,23,NA,NA,NA,NA,NA
NA,NA,NA,6.7,6.39,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-11-01",NA,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,6303.9,39853,88717.86,NA,21,NA,NA,NA,NA,NA
NA,NA,NA,6.6,6.42,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-12-01",NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,5291.2,34229,75447.35,NA,20,NA,NA,NA,NA,NA
NA,NA,NA,7.1,6.64,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-01-01",NA,0.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,5106.2,33523,68015.92,NA,23,NA,NA,NA,NA,NA
NA,NA,NA,7.4,6.36,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-02-01",NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,3371.8,21428,44647.9,NA,18,NA,NA,NA,NA,NA
NA,NA,NA,7.3,6.76,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-03-01",NA,0.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,5736.8,38382,87003.26,NA,26,NA,NA,NA,NA,NA
NA,NA,NA,6.6,6.3,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-04-01",NA,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,3841.2,23666,54546.78,NA,17,NA,NA,NA,NA,NA
NA,NA,NA,7.2,6.51,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-05-01",NA,0.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,3674.5,23951,54491.57,NA,17,NA,NA,NA,NA,NA
NA,NA,NA,6.5,6.46,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-06-01",NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,3160.9,19725,42083.04,NA,18,NA,NA,NA,NA,NA
NA,NA,NA,6.6,6.2,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-01",NA,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,4650.8,28986,64443.89,NA,24,NA,NA,NA,NA,NA
NA,NA,NA,7.9,6.26,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-01",NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2462.4,15552,31663.61,NA,10,NA,NA,NA,NA,NA
NA,NA,NA,6.3,6.43,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-01",NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,2268.6,14367,28678.93,NA,12,NA,NA,NA,NA,NA
NA,NA,NA,7.3,6.55,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-01",NA,0.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,3262,21295,49894.67,NA,15,NA,NA,NA,NA,NA
NA,NA,NA,6.9,6.26,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-01",NA,0.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,5730.7,35498,75750.33,NA,23,NA,NA,NA,NA,NA
NA,NA,NA,6.3,6.76,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-12-01",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3666.9,24676,51733.47,NA,22,NA,NA,NA,NA,NA
NA,NA,NA,7.5,6.56,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-01-01",NA,0.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,3887.6,25497,51336.31,NA,18,NA,NA,NA,NA,NA
NA,NA,NA,7.8,6.67,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-02-01",NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,3283,21685,44463.16,NA,20,NA,NA,NA,NA,NA
NA,NA,NA,7.1,6.59,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-03-01",NA,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,6994.7,45810,103177.58,NA,26,NA,NA,NA,NA,NA
NA,NA,NA,6.3,6.79,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-04-01",NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,4114,27901,62259.13,NA,18,NA,NA,NA,NA,NA
NA,NA,NA,7.7,6.58,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-05-01",NA,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,3963.3,25976,54818.17,NA,17,NA,NA,NA,NA,NA
NA,NA,NA,6.3,6.57,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-06-01",NA,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,4250.9,27852,61535.96,NA,19,NA,NA,NA,NA,NA
NA,NA,NA,5.9,6.34,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-07-01",NA,0.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,4736.8,29918,67815.33,NA,21,NA,NA,NA,NA,NA
NA,NA,NA,6.5,6.51,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-08-01",NA,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,3191.9,21192,48667.57,NA,14,NA,NA,NA,NA,NA
NA,NA,NA,6,6.41,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-01",NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4380.6,27504,65332.82,NA,20,NA,NA,NA,NA,NA
NA,NA,NA,7.3,6.45,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-10-01",NA,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,3457.6,22214,49696.11,NA,18,NA,NA,NA,NA,NA
NA,NA,NA,6.4,6.38,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-11-01",NA,0.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,3868.8,24117,48364.05,NA,17,NA,NA,NA,NA,NA
NA,NA,NA,7.3,6.39,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-12-01",NA,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,4151.1,26516,57680.16,NA,21,NA,NA,NA,NA,NA
NA,NA,NA,6.5,6.69,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-01",NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4566.9,30167,71044.51,NA,20,NA,NA,NA,NA,NA
NA,NA,NA,6.4,6.41,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-02-01",NA,0.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,2265.9,14700,28262.75,NA,11,NA,NA,NA,NA,NA
NA,NA,NA,6.6,6.54,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-03-01",NA,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,6245,40641,87125.35,NA,27,NA,NA,NA,NA,NA
NA,NA,NA,8,6.4,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-01",NA,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,3774.3,23843,53500.72,NA,17,NA,NA,NA,NA,NA
NA,NA,NA,6.6,6.71,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-01",NA,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,5805.9,38455,86316.6,NA,26,NA,NA,NA,NA,NA
NA,NA,NA,8.1,6.69,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-01",NA,0.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,3872,25745,56002.59,NA,17,NA,NA,NA,NA,NA
NA,NA,NA,6.4,6.68,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-01",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3998.8,26460,58997.74,NA,18,NA,NA,NA,NA,NA
NA,NA,NA,6.7,6.41,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-08-01",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5001.6,31643,72993.49,NA,24,NA,NA,NA,NA,NA
NA,NA,NA,7.6,6.61,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-09-01",NA,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,3742.8,24613,51084.13,NA,22,NA,NA,NA,NA,NA
NA,NA,NA,8.2,6.14,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-10-01",NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,3896.3,23483,51584.53,NA,14,NA,NA,NA,NA,NA
NA,NA,NA,7.1,6.45,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-11-01",NA,0.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,3771,24597,52370.29,NA,24,NA,NA,NA,NA,NA
NA,NA,NA,7.1,6.35,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-12-01",NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,5375.4,33853,79541.53,NA,20,NA,NA,NA,NA,NA
NA,NA,NA,6.3,6.42,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-01-01",NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829.1,24783,51630.26,NA,15,NA,NA,NA,NA,NA
